United States,608884
Brazil,541266
India,413609
Mexico,236240
Peru,195047
Russia,145222
United Kingdom,128960
Italy,127864
Colombia,115831
France,111657
Argentina,101434
Germany,91369
Iran,86966
Spain,81096
Poland,75212
Indonesia,72489
South Africa,66676
Ukraine,55151
Turkey,50488
Chile,34403
Romania,34252
Czechia,30336
Hungary,30015
Philippines,26598
Canada,26452
Belgium,25209
Pakistan,22781
Ecuador,21933
Bulgaria,18169
Netherlands,18060
Iraq,17789
Bangladesh,17669
Bolivia,17443
Tunisia,17354
Portugal,17199
Egypt,16439
Japan,14990
Sweden,14646
Paraguay,14230
Greece,12816
Slovakia,12524
Switzerland,10902
Austria,10728
Guatemala,9898
Jordan,9887
Bosnia and Herzegovina,9667
Nepal,9527
Morocco,9434
Croatia,8236
Saudi Arabia,8048
Lebanon,7884
Honduras,7391
Serbia,7080
Malaysia,6866
Panama,6697
Israel,6446
Moldova,6224
Afghanistan,5983
Uruguay,5879
Georgia,5538
North Macedonia,5487
Ireland,5018
Azerbaijan,4991
Costa Rica,4874
Myanmar,4769
China,4636
Armenia,4559
Slovenia,4425
Lithuania,4404
Ethiopia,4354
Algeria,3922
Dominican Republic,3915
Kenya,3760
Sri Lanka,3733
Kazakhstan,3612
Palestine,3587
Oman,3498
Venezuela,3362
Belarus,3316
Libya,3253
Thailand,3240
Zambia,3052
Sudan,2776
Zimbabwe,2588
Latvia,2543
Denmark,2543
El Salvador,2484
Namibia,2467
Albania,2456
Uganda,2324
Kosovo,2268
Kuwait,2211
Kyrgyzstan,2165
Nigeria,2126
South Korea,2057
Syria,1904
United Arab Emirates,1896
Cuba,1843
Montenegro,1623
Bahrain,1380
Yemen,1368
Cameroon,1330
Malawi,1325
Botswana,1274
Estonia,1271
Senegal,1214
Jamaica,1153
Mozambique,1099
Cambodia,1076
Trinidad and Tobago,990
Democratic Republic of Congo,984
Finland,979
Angola,954
Madagascar,936
Australia,914
Luxembourg,820
Ghana,810
Norway,796
Uzbekistan,793
Somalia,781
Taiwan,764
Mongolia,734
Eswatini,703
Rwanda,638
Suriname,607
Qatar,599
Mali,530
Guyana,509
Mauritania,508
Haiti,487
Malta,420
Cyprus,384
Lesotho,339
Belize,332
Cote d'Ivoire,320
Cape Verde,295
Bahamas,273
Vietnam,225
Maldives,216
Hong Kong,212
Niger,194
Nicaragua,193
Gambia,188
Guinea,186
Papua New Guinea,179
Chad,174
Congo,172
Burkina Faso,169
Gabon,162
Djibouti,155
Liberia,148
Comoros,147
Togo,137
Andorra,127
Equatorial Guinea,123
South Sudan,117
Sierra Leone,115
Tajikistan,110
Benin,107
Central African Republic,98
San Marino,90
Saint Lucia,87
Fiji,85
Seychelles,81
Guinea-Bissau,72
Liechtenstein,59
Barbados,48
Antigua and Barbuda,42
Sao Tome and Principe,41
Singapore,36
Monaco,33
Eritrea,30
Iceland,29
New Zealand,26
Timor,26
Tanzania,21
Mauritius,18
Saint Vincent and the Grenadines,12
Burundi,8
Laos,4
Saint Kitts and Nevis,3
Brunei,3
Bhutan,2
Grenada,1
Vanuatu,1
Anguilla,NULL
Turkmenistan,NULL
Northern Cyprus,NULL
Montserrat,NULL
Sint Maarten (Dutch part),NULL
Niue,NULL
French Polynesia,NULL
Bonaire Sint Eustatius and Saba,NULL
Micronesia (country),NULL
Cook Islands,NULL
Falkland Islands,NULL
Nauru,NULL
Bermuda,NULL
Marshall Islands,NULL
Cayman Islands,NULL
Faeroe Islands,NULL
Greenland,NULL
Turks and Caicos Islands,NULL
Guernsey,NULL
Gibraltar,NULL
Aruba,NULL
Samoa,NULL
Curacao,NULL
Macao,NULL
Solomon Islands,NULL
Kiribati,NULL
Dominica,NULL
Pitcairn,NULL
Tonga,NULL
Saint Helena,NULL
British Virgin Islands,NULL
Vatican,NULL
New Caledonia,NULL
Jersey,NULL
Wallis and Futuna,NULL
Tuvalu,NULL
Isle of Man,NULL
